MODEL_BRAND,Key_mat_1,Plant_1,Mat_1,Key_mat_2,Plant_2,Mat_2
3310 ATN9_SKF,7560_75060602310346,7560,75060602310346,7511_75060610300414,7511,75060610300414
3311 ANR_SKF,7560_75060602411346,7560,75060602411346,7511_75060610310502,7511,75060610310502
7306 BECBM_SKF,7812_78060606306581,7812,78060606306581,7511_75060610805312,7511,75060610805312
NU 308 ECP/C3_SKF,7812_78060612308552,7812,78060612308552,7511_75060612500369,7511,75060612500369
C 2234 K/C4_SKF,7560_75060612234350,7560,75060612234350,7511_75060612556307,7511,75060612556307
NJ 308 ECP_SKF,7812_78060610608574,7812,78060610608574,7511_75060614010795,7511,75060614010795
NJ 210 ECJ_SKF,7812_78060610510553,7812,78060610510553,7511_75060615877000,7511,75060615877000
NU 222 ECJ_SKF,PO11_PO06131331609,PO11,PO06131331609,7511_75060615930000,7511,75060615930000
NU 318 ECJ_SKF,7560_75060612318999,7560,75060612318999,7511_75060615934000,7511,75060615934000
NU 320 ECJ_SKF,7560_75060612320999,7560,75060612320999,7511_75060615936000,7511,75060615936000
NU 228 ECML/C3_SKF,7560_75060612228152,7560,75060612228152,7511_75060615940117,7511,75060615940117
NUP 208 ECP_SKF,7812_78060614208581,7812,78060614208581,7511_75060615957110,7511,75060615957110
NUP 208 ECP_SKF,7812_78060614208581,7812,78060614208581,PO21_PO06131331573,PO21,PO06131331573
NUP 208 ECP_SKF,7511_75060615957110,7511,75060615957110,PO21_PO06131331573,PO21,PO06131331573
NUP 2206 ECP_SKF,7560_75060613706141,7560,75060613706141,7511_75060615958000,7511,75060615958000
NUP 2206 ECP_SKF,7560_75060613706141,7560,75060613706141,PO21_PO06131331571,PO21,PO06131331571
NUP 2206 ECP_SKF,7511_75060615958000,7511,75060615958000,PO21_PO06131331571,PO21,PO06131331571
NU 1015 ML_SKF,K011_K0060615920103,K011,K0060615920103,7511_75060615969205,7511,75060615969205
6003_SKF,PO11_PO06131330610,PO11,PO06131330610,7511_75060621603025,7511,75060621603025
6015_SKF,PO11_PO06131330809,PO11,PO06131330809,7511_75060621607000,7511,75060621607000
6048 M_SKF,7560_75060622448999,7560,75060622448999,7511_75060621628460,7511,75060621628460
